sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,7,1,6,0,0.1429,1.0000,0.2500,0,0,1,8,6669,754,7423
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,3,0,3,0,0.0000,0.0000,0.0000,0,0,0,3,5649,271,5920
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,9,0,9,17,0.0000,0.0000,0.0000,0,0,0,10,7220,795,8015
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5731,269,6000
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,4,0,4,1,0.0000,0.0000,0.0000,0,0,0,4,6538,409,6947
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5682,269,5951
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,10,3,7,12,0.3000,0.2000,0.2400,0,0,0,10,6767,905,7672
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5667,269,5936
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,8,5,3,15,0.6250,0.2500,0.3571,0,0,0,8,7468,646,8114
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,6056,269,6325
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,1,1,0,0,1.0000,1.0000,1.0000,0,0,0,1,5617,129,5746
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,3,3,0,0,1.0000,1.0000,1.0000,0,0,0,3,5721,269,5990
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,1,0,1,0,0.0000,0.0000,0.0000,0,0,0,1,5437,138,5575
