sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,0,0,0,1,0.0000,0.0000,0.0000,0,1,0,0,4260,4987,9247
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,0,0,0,0,0.0000,0.0000,0.0000,1,1,0,0,3230,3440,6670
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,0,0,0,17,0.0000,0.0000,0.0000,1,1,0,0,4824,8000,12824
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,0,0,0,3,0.0000,0.0000,0.0000,1,1,0,0,3321,5057,8378
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,0,0,0,1,0.0000,0.0000,0.0000,1,1,0,0,4130,8000,12130
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,3262,6816,10078
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,0,0,0,15,0.0000,0.0000,0.0000,1,1,0,0,4390,8000,12390
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,0,0,0,3,0.0000,0.0000,0.0000,1,1,0,0,3249,8000,11249
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,0,0,0,20,0.0000,0.0000,0.0000,1,1,0,0,5072,8000,13072
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,2,0,2,3,0.0000,0.0000,0.0000,0,0,0,2,3658,8000,11658
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,0,0,0,1,0.0000,0.0000,0.0000,1,1,0,0,3198,5762,8960
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,4,3,1,0,0.7500,1.0000,0.8571,0,0,0,4,3304,4806,8110
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,2990,2438,5428
