sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,8,1,7,0,0.1250,1.0000,0.2222,0,0,0,8,3918,4821,8739
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,10,0,10,0,0.0000,0.0000,0.0000,0,0,0,10,2888,3799,6687
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,16,14,2,3,0.8750,0.8235,0.8485,0,0,0,16,4482,4944,9426
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,0,0,0,3,0.0000,0.0000,0.0000,1,1,0,0,2979,8000,10979
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,16,1,15,0,0.0625,1.0000,0.1176,0,0,0,16,3788,5822,9610
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,11,1,10,2,0.0909,0.3333,0.1429,0,0,1,12,2920,3802,6722
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,0,0,0,15,0.0000,0.0000,0.0000,1,1,0,0,4048,6912,10960
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,0,0,0,3,0.0000,0.0000,0.0000,0,0,0,0,2907,6799,9706
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,0,0,0,20,0.0000,0.0000,0.0000,1,1,0,0,4730,8000,12730
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,21,0,21,3,0.0000,0.0000,0.0000,0,0,1,22,3316,6699,10015
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,3,1,2,0,0.3333,1.0000,0.5000,0,0,0,3,2856,2367,5223
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,0,0,0,3,0.0000,0.0000,0.0000,0,0,0,0,2962,4876,7838
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,1,1,0,0,2648,5161,7809
