sample_id,language,file_path,class_name,gold_count,pred_count,tp,fp,fn,precision,recall,f1,parse_error,truncated,invalid_findings,total_findings,input_tokens,output_tokens,total_tokens
cpp_Cashier_cpp,cpp,C++/SmellyAnnotated/Cashier.cpp,Cashier,1,6,1,5,0,0.1667,1.0000,0.2857,0,0,0,6,4065,2076,6141
cpp_Cashier_h,cpp,C++/SmellyAnnotated/Cashier.h,Cashier,0,2,0,2,0,0.0000,0.0000,0.0000,0,0,0,2,3151,1129,4280
cpp_Chef_cpp,cpp,C++/SmellyAnnotated/Chef.cpp,Chef,17,11,7,4,10,0.6364,0.4118,0.5000,0,0,0,11,4488,3545,8033
cpp_Chef_h,cpp,C++/SmellyAnnotated/Chef.h,Chef,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,3228,1401,4629
cpp_Customer_cpp,cpp,C++/SmellyAnnotated/Customer.cpp,Customer,1,3,0,3,1,0.0000,0.0000,0.0000,0,0,0,3,3956,1975,5931
cpp_Customer_h,cpp,C++/SmellyAnnotated/Customer.h,Customer,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,3176,1577,4753
cpp_Drink_cpp,cpp,C++/SmellyAnnotated/Drink.cpp,Drink,15,7,6,1,9,0.8571,0.4000,0.5455,0,0,0,7,4118,2484,6602
cpp_Drink_h,cpp,C++/SmellyAnnotated/Drink.h,Drink,3,5,3,2,0,0.6000,1.0000,0.7500,0,0,0,5,3165,1807,4972
cpp_Pizza_cpp,cpp,C++/SmellyAnnotated/Pizza.cpp,Pizza,20,19,18,1,2,0.9474,0.9000,0.9231,0,0,0,19,4705,3100,7805
cpp_Pizza_h,cpp,C++/SmellyAnnotated/Pizza.h,Pizza,3,6,3,3,0,0.5000,1.0000,0.6667,0,0,0,6,3526,2374,5900
cpp_Shop_cpp,cpp,C++/SmellyAnnotated/Shop.cpp,Shop,1,4,0,4,1,0.0000,0.0000,0.0000,0,0,0,4,3124,1780,4904
cpp_Shop_h,cpp,C++/SmellyAnnotated/Shop.h,Shop,3,4,2,2,1,0.5000,0.6667,0.5714,0,0,0,4,3216,1605,4821
cpp_main_cpp,cpp,C++/SmellyAnnotated/main.cpp,main,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,2946,663,3609
